Sample	Input	Quality_controlled	Decontaminated	Entropy_filtered
DC202_UAB832_S93_L001	57358832	42222304	42205968	42201997
DC203_UAB832_S38_L002	37244876	25336764	25323576	25320618
DC204_UAB832_S39_L002	66481280	45000820	44983558	44978748
DC205_UAB832_S40_L002	40272050	27560938	27557318	27554447
DC206_UAB832_S41_L002	53384460	36554384	36515858	36512907
DC208_UAB832_S42_L002	80358946	55236378	54347148	54342522
DC209_UAB832_S43_L002	33733914	23413388	23098654	23096248
DC211_UAB832_S44_L002	73022414	49991566	49692290	49687337
DC212_UAB832_S45_L002	36591136	25335064	25328808	25325669
DC213_UAB832_S76_L004	54865400	40074272	40052568	40048260
DC214_UAB832_S46_L002	88573162	62716102	62691688	62686534
DC215_UAB832_S47_L002	59719488	41112484	41076726	41073001
DC216_UAB832_S73_L002	76905912	52457016	52453244	52448705
DC217_UAB832_S74_L002	55937760	38910536	38865728	38861712
DC218_UAB832_S75_L002	39356936	27066742	27051212	27047013
DC219_UAB832_S76_L002	59276812	41308730	41299180	41294205
DC221_UAB832_S77_L002	75056134	50519648	50502798	50496116
DC223_UAB832_S78_L002	71185226	50554608	50374120	50367286
DC224_UAB832_S79_L002	83725478	55434624	55416066	55408414
DC226_UAB832_S80_L002	70993754	49580104	49561998	49557823
DC229_UAB832_S81_L002	100230020	68729728	68718904	68713126
DC230_UAB832_S82_L002	39866476	28646436	28642170	28639188
DC231_UAB832_S92_L002	61687894	41379322	41375672	41370807
DC232_UAB832_S93_L002	66958976	48282684	48279206	48274697
DC234_UAB832_S94_L002	79834304	58259474	58234488	58229159
DC235_UAB832_S95_L002	79426166	55551010	55541802	55536420
DC239_UAB832_S18_L003	63736146	48586318	48506170	48501927
DC241_UAB832_S19_L003	54794496	41558870	41547370	41544123
DC243_UAB832_S20_L003	63677306	47850542	47831874	47827581
DC244_UAB832_S21_L003	60679588	44781174	44775104	44771549
DC245_UAB832_S22_L003	61521548	45976614	45875852	45871803
DC246_UAB832_S23_L003	63463732	42282802	42280632	42277381
DC247_UAB832_S49_L003	78790876	57637926	57633400	57627889
DC248_UAB832_S50_L003	40939086	30430164	30402170	30398362
DC249_UAB832_S51_L003	72928186	55179774	55102918	55097842
DC252_UAB832_S52_L003	62408996	47020702	47005500	47001270
DC253_UAB832_S53_L003	90623092	68522764	68449658	68443471
DC254_UAB832_S54_L003	68835862	51251280	50799882	50795053
DC255_UAB832_S55_L003	65872910	47430666	47403670	47398374
DC257_UAB832_S56_L003	66334746	49195596	49166054	49160696
DC259_UAB832_S57_L003	58475294	43172138	43163642	43159038
DC261_UAB832_S58_L003	57264382	42112008	41909714	41905709
DC263_UAB832_S85_L003	70637654	52685462	52677006	52671413
DC265_UAB832_S86_L003	62818462	45779244	45733494	45729003
DC266_UAB832_S87_L003	72714658	53062432	53031178	53026154
DC267_UAB832_S88_L003	64773936	48052652	48040294	48035451
DC268_UAB832_S89_L003	65596128	48698892	48686420	48681729
DC269_UAB832_S90_L003	66472654	49360438	49343896	49339226
DC270_UAB832_S91_L003	59993268	44425368	44419096	44414533
DC271_UAB832_S92_L003	62964392	46937460	46899082	46894820
DC273_UAB832_S93_L003	88906050	66213566	66097514	66091214
DC274_UAB832_S94_L003	68771330	51389688	51311358	51306275
DC276_UAB832_S26_L004	56431446	36100622	36036258	36032718
DC277_UAB832_S27_L004	41990406	26747232	26741718	26739492
DC279_UAB832_S28_L004	83191520	55203538	55198648	55186322
DC281_UAB832V2_S94_L004	277190864	188551588	188527616	188498688
DC282_UAB832_S29_L004	55822744	37279224	37252336	37243300
DC283_UAB832_S30_L004	64776344	41986210	41911994	41905473
DC285_UAB832_S31_L004	57866230	38179768	38055258	38051430
DC287_UAB832_S32_L004	53085818	36342738	36254764	36251099
DC288_UAB832_S33_L004	54595502	36704708	36684206	36680810
DC290_UAB832_S34_L004	59724288	40665486	40529634	40525748
DC291_UAB832_S61_L004	62081016	46741564	46718076	46714182
DC292_UAB832_S62_L004	67530860	49984844	49956588	49951088
DC293_UAB832_S63_L004	53461116	38406672	38378984	38375392
DC294_UAB832_S64_L004	54815026	39015118	38580580	38573993
DC296_UAB832V2_S95_L004	232949930	166812442	166767044	166746487
DC297_UAB832_S65_L004	67183898	48589668	48490008	48483278
DC298_UAB832_S66_L004	50820420	37363432	37276644	37271657
DC300_UAB832V2_S96_L004	196647596	128223482	128214546	128193646
DC302_UAB832_S67_L004	60043630	42821068	42812834	42807699
DC305_UAB832_S68_L004	58050658	41008378	41005554	40996580
DC307_UAB832_S70_L004	74366230	55948040	55832724	55827045
DC308_UAB832_S71_L004	65857652	47709324	47704936	47695025
DC310_UAB832_S72_L004	59632850	43495884	43492876	43486462
DC312_UAB832_S73_L004	67250410	49789614	49775530	49770534
DC313_UAB832_S74_L004	55283670	40762836	40751866	40747379
DC314_UAB832_S75_L004	79092432	57382430	57366544	57360221
DP312_UAB832_S1_L001	84571266	51422438	50239640	50233145
DP313_UAB832_S2_L001	87817462	58832016	58796532	58790101
DP316_UAB832_S3_L001	86200992	64535352	64473730	64467308
DP317_UAB832_S4_L001	55260006	36184744	36148414	36145237
DP319_UAB832_S5_L001	62697406	44709446	44698810	44690253
DP320_UAB832_S6_L001	79219232	54798978	54745682	54740773
DP321_UAB832_S7_L001	56249660	39093358	39067926	39063785
DP322_UAB832_S8_L001	48845190	30764550	30750838	30748195
DP323_UAB832_S9_L001	79071808	54590564	54440740	54435815
DP324_UAB832_S10_L001	46878386	33616672	33151268	33148511
DP326_UAB832_S11_L001	50558126	37452750	37394842	37390727
DP327_UAB832_S12_L001	72648342	52771088	52761116	52756269
DP328_UAB832_S13_L001	45455552	34660182	34385178	34381674
DP331_UAB832_S14_L001	39187868	27994254	27927594	27924910
DP332_UAB832_S15_L001	49384626	36474348	36461920	36458025
DP333_UAB832_S16_L001	62399346	43638932	43458750	43454309
DP334_UAB832_S17_L001	67631290	40483854	29740838	29739254
DP335_UAB832_S18_L001	56741000	39913560	39906786	39902844
DP336_UAB832_S19_L001	49371092	35680148	35670688	35666606
DP337_UAB832_S20_L001	73462528	53489516	53271058	53265868
DP338_UAB832_S21_L001	29379344	21792934	21703584	21701409
DP339_UAB832_S22_L001	27502810	19333156	19321132	19319520
DP340_UAB832_S23_L001	50891634	35967582	35933192	35929589
DP341_UAB832_S24_L001	62421508	44765656	44699202	44694823
DP342_UAB832_S25_L001	45430262	29972226	29948288	29945621
DP344_UAB832_S37_L001	20242036	14873404	3367102	3366802
DP346_UAB832_S38_L001	57357232	42308170	42237314	42233895
DP347_UAB832_S39_L001	52079024	38780842	38752112	38748614
DP348_UAB832_S40_L001	64146444	47140038	47115580	47111221
DP349_UAB832_S41_L001	46775614	34929750	34894830	34891518
DP350_UAB832_S42_L001	45529482	29439992	29400666	29397560
DP351_UAB832_S43_L001	38530160	26968590	26513778	26510867
DP352_UAB832_S44_L001	41276422	29802726	29595896	29593362
DP353_UAB832_S45_L001	51497302	37253244	37225972	37222168
DP354_UAB832_S46_L001	53262924	37434176	37432282	37428157
DP356_UAB832_S47_L001	36019286	25950302	25945134	25941880
DP357_UAB832V2_S95_L001	287021634	200990460	200976698	200957359
DP359_UAB832_S48_L001	73075846	48590084	48571758	48564992
DP360_UAB832_S49_L001	79556884	54413342	54043024	54037147
DP361_UAB832_S50_L001	56283766	42186932	42166410	42161000
DP362_UAB832_S51_L001	75674102	57094714	57042582	57037362
DP364_UAB832_S52_L001	40657612	30698780	30657722	30653436
DP367_UAB832_S53_L001	35840214	25126492	25125244	25122247
DP368_UAB832_S54_L001	74264312	47654788	47650982	47642848
DP369_UAB832_S55_L001	52505210	36535156	36525938	36521672
DP371_UAB832_S56_L001	52104258	33716844	33674716	33671236
DP373_UAB832_S57_L001	73652366	54067806	54038776	54029906
DP375_UAB832_S58_L001	49521814	36919372	36901298	36897115
DP376_UAB832_S59_L001	24300196	18693374	18672494	18670871
DP377_UAB832_S60_L001	59970870	45159450	45147678	45143025
DP379_UAB832_S71_L001	70607508	50717112	50704630	50699759
DP380_UAB832_S72_L001	73284200	52201620	52190956	52185925
DP381_UAB832_S73_L001	47446212	34252824	34132580	34128614
DP382_UAB832_S74_L001	56639764	41747434	41662992	41659288
DP383_UAB832_S75_L001	81536496	58784140	58763234	58757136
DP384_UAB832_S76_L001	65328140	47325624	47319440	47315135
DP385_UAB832_S77_L001	31804770	23028726	23003004	23000539
DP389_UAB832_S78_L001	76466358	52604972	51511892	51506904
DP391_UAB832_S79_L001	61357188	41867186	41858052	41854515
DP392_UAB832_S80_L001	61811410	45513494	45213984	45209624
DP393_UAB832_S81_L001	66617040	47997360	47994624	47988543
DP394_UAB832_S82_L001	62029582	47283050	47270452	47266801
DP396_UAB832_S83_L001	50352300	36622042	36592480	36589034
DP397_UAB832_S84_L001	64436450	47309420	47288842	47284597
